,question_text
38419,지원자님이 생각할 때 현대사회에서 없어서는 안 될 가장 중요한 직업은 무엇입니까 한 가지만 선택해서 말씀해 주시기 바랍니다
38420,직무를 수행하다가 모르는 과제가 등장할 수 있는데요 그렇게 된다면 어떻게 해결하실 건가요 그러한 해결법과 이유를 말씀해 주시길 바랍니다
38421,지금까지 여러 대외 활동을 경험하셨을 텐데 대외 활동에서 무엇을 배웠고 또 어떤 자세로 임하셨는지 말씀해 주세요
38422,본인만의 스트레스 해소법이 있는지 있다면 왜 그런 방식으로 스트레스를 해소하는지 말씀해 주실 수 있나요
38423,본인은 팀장에 더 잘 맞을 것 같은지 팀원에 더 잘 맞을 것 같은지 이유와 함께 말씀해 주세요
38424,시간이 남을 때 무슨 일을 하시는지 그 일을 하는 이유는 무엇인지 설명해 주실 수 있으십니까
38425,지원자님께서 가지고 있는 상위 일 퍼센트의 능력이 있다면 그 능력을 최대한 자세하게 설명해 주십시오
38426,지원자님의 의견을 주장하실 때 강하게 주장하는 편이십니까 어떤 스타일로 자신의 의견을 주장하시는지 말씀해 주세요
38427,인생을 살아오면서 무언가 하나에 푹 빠져서 몰두했던 경험이 있으신가요 있다면 그게 어떤 것인지 궁금합니다
38428,면접자님께서 입사 후 기존에 원하던 일을 못 하게 됐을 경우 어떻게 받아들이시겠습니까
38429,본인이 그동안 인생에서 겪었던 갈등 가운데 가장 심각했던 갈등은 무엇인지 한 가지만 골라 말씀 부탁드립니다
38430,타 지원자들에 비해 본인만이 가진 차별성과 장점을 어필한다면 어떤 것들이 있을까요
38431,지금까지 여러 대외 활동을 해 보셨을 텐데 대외 활동에서 본인은 무엇을 배웠고 어떤 자세로 임했는지 말씀해 주실 수 있나요
38432,네이버와 다음 구글 등과 같은 검색 엔진들을 비교해 보시고 각각 검색엔진들의 차이점과 장단점을 설명해 주시기를 바랍니다
38433,본인의 성격 상 장단점에 대해 각각 말씀해 주세요 구체적인 예시를 들어주셔도 좋습니다
38434,본인만의 단점이 있다면 말씀해 주시고 이를 보완하기 위한 노력이 있다면 함께 말씀 부탁드립니다
38435,최근에 재미있게 하고 있는 일이 있으신가요 있다면 그게 왜 재미있는지도 같이 얘기해 주세요
38436,업무 시 분쟁이 발생할 때를 대비한 지원자님만의 대처법이 있으십니까 있다면 무엇인지 말씀해 주십시오
38437,저희 회사에 들어오게 된다면 가장 가고 싶은 부서와 왜 그렇게 생각하셨는지 이유를 함께 말씀해 주시기 바랍니다
38438,지원자님께서 공장에서 일해 보신 경험이 있는지 궁금한데요 만약 있으시다면 그 경험에 대해서 자세하게 설명해 주시기 바랍니다
38439,과거 프로젝트를 수행했던 경험이 있으신가요 그 경험이 있다면 프로젝트 내에서 어떤 역할을 맡으셨는지 자세하게 설명 부탁드리겠습니다
38440,커뮤니케이션을 잘날 수 있는 지원자님만의 스킬이 있다면 한번 소개해 주시겠어요 직접 한번 보여주셔도 좋습니다
38441,살면서 다양한 커뮤니케이션을 경험하셨을 텐데 그 중에 가장 어려웠던 경험을 한 가지만 말씀해 주실 수 있나요
38442,지원자님께서는 스터디를 따로 하고 계신 것이 있으신지 궁금한데요 또 있다면 어떤 공부를 무슨 이유로 하고 계신지도 함께 말씀해 주시길 바랍니다
38443,지원자님 스스로 생각하시기에 지원자님은 팀장 팀원 중에서 어떤 쪽에 더 잘 맞을 것 같다고 생각을 하십니까
38444,면접자 본인이 다룰 수 있는 설계 프로그램이 있다면 어떤 건지 말씀해 주시죠
38445,혹시 매일 공부하고 있는 분야가 따로 있으신가요 있다면 왜 그 공부를 하시는지 궁금합니다
38446,커뮤니케이션을 잘 할 수 있는 지원자님만의 스킬이 있다면 한 번 소개해 주시겠습니까 직접 한 번 보여주셔도 좋습니다
38447,현대인은 하루 평균 세 번 거짓말을 한다고 하는데요 본인이 해본 가장 기억에 남는 거짓말은 무엇입니까
38448,지원자님께서는 고장난 기계나 고장난 장비 등을 성공적으로 교체해 본 경험이 있으십니까 만약 있으시다면 그 경험에 대해 말씀해 주시기 바랍니다
38449,지원자님은 시험 기간 시간이 촉박할 때 어떻게 시간 관리를 하십니까 지원자님의 시간 관리법이 궁금합니다
38450,저희 회사에 들어오시게 된다면 가장 가고 싶은 부서와 왜 그렇게 생각하셨는지 이유를 함께 말씀해 주시기 바랍니다
38451,고령화 사회가 진행됨에 따라서 치매로 인한 문제가 많이 대두되고 있는데 이에 대해서 건보공단이 해야 될 일과 개선 방안에 대한 의견을 말씀 부탁드립니다
38452,지원자분께서 어 업무를 진행하는 데 있어서 기술적인 이슈를 해결했던 경험이 있으실까요 만약에 그런 경험이 있다면 그 당시에 상황을 좀 자세하게 구체적으로 설명해 주세요
38453,면접자님께서 대학에서 배운 전공 과목 중 가장 기억에 남는 과목 한 가지만 골라 설명해 주세요
38454,우리 회사에 들어와서 오 년 뒤 그리고 십 년 뒤에 지원자님은 어떤 엔지니어가 되어 있을지 그에 대해 말해 주시겠어요
38455,평소 휴식을 취할 때는 주로 어떤 일들을 하십니까 왜 그 일을 수행하는지 이유도 함께 말씀 부탁드립니다
38456,지원자님만의 스트레스 해소 방법이 있다면 저희들에게 한번 소개해 주실 수 있을까요
38457,지원자분께서 지금까지 인생을 살아오시면서 가장 후회되는 일이 있으시다면 어떤 일일지 궁금합니다 한 가지만 이야기해 주시면 좋겠습니다
38458,면접자님의 친한 주변 친구들을 한 명을 골라 구체적이고 자세하게 칭찬 부탁드립니다
38459,지원자분께서 일을 하시면서 가장 어려울 것으로 예상되는 점은 무엇일지 궁금합니다 그리고 그에 어떻게 대처하실 생각이신지 궁금합니다
38460,저희 회사에 들어와 지원자님이 하고 싶으신 업무가 있으신가요 있으시다면 이유와 함께 말씀 부탁드립니다
38461,본인의 장점과 단점에 대해서 설명을 한번 해 주시고 그것을 특화시키거나 극복하기 위한 노력을 했던 것도 같이 얘기해 주세요
38462,만약에 면접에서 탈락하게 된다면 어떤 점이 부족해서 탈락했다고 생각하시겠습니까
38463,지금 혹시 읽고 계신 책이 있으신가요 있다면 무슨 책을 읽고 계신지 어떤 이유로 읽고 계신지 궁금합니다
38464,소통 능력을 키우기 위해서 어떤 일들을 할 수 있다고 생각하십니까 생각나는 방법들을 자세하게 한번 말씀해 주시기 바랍니다
38465,왜 이 분야에 관심을 가지게 되었고 또 지원하게 되었는지 궁금한데요 관심을 가진 이유와 지원 동기를 말씀해 주십시오
38466,주변 친구들 중에 한 명을 골라서 칭찬 부탁드리겠습니다 구체적이고 자세한 칭찬일수록 좋을 것 같습니다
38467,본인이 그동안 인생에서 겪었던 갈등들 중 가장 심각했던 갈등은 무엇입니까 한 가지만 골라 말씀 부탁드립니다
38468,저희 회사에 입사 후에 업무를 하게 되시면 주말근무나 야근이 많이 발생할 수가 있습니다 지원자님께서는 주말 근무와 야근에 대해서 어떻게 생각하십니까
38469,저희 일의 특성 상 야근이나 잔업 외근이 많아질 수도 있습니다 면접자님께선 이 부분에 대해 어떻게 생각하시는지 궁금합니다
38470,만약 지원자 분께서 하고 싶은 직무가 아니라 다른 직무를 맡게 되신다고 하면 어떻게 하시겠는지 궁금합니다 그래도 괜찮으신지 답변 부탁드립니다
38471,내가 다를 수 있는 가장 자신 있는 설계 프로그램은 무엇이고 왜 그렇게 생각하는지 말씀을 해 보시죠
38472,지원자님께서는 본인 스스로 숫자와 창의 중 어떤 것에서 가깝다고 생각하시나요 이유도 함께 말씀해 주세요
38473,네이버 다음 구글의 검색을 비교하시고 각각 검색 엔진들의 차이점과 장단점을 말씀해 주세요
38474,규칙적인 업무 수행을 잘 하기 위해서 만들어 낸 지원자님만의 특별한 노하우나 방법이 있다면 예시를 들어서 설명해 주십시오
38475,휴식을 취할 때는 주로 어떤 일을 하시나요 왜 그 일을 하는지 그 이유와 함께 설명해 주시기 바랍니다
38476,근무를 하다 보면 상사와 트러블이 발생할 수 있는데 어떻게 해야 하겠습니까 또 상사가 혼내면 기분이 나쁘시진 않을까요
38477,면접자님께서 살면서 가장 힘들었던 시기가 있다면 언제입니까 또 그 시기를 극복하기 위해 했던 노력이 있다면 무엇인지 한 가지만 말씀해 주세요
38478,회사의 덕목이 무엇이라고 생각하시나요 어떤 회사가 좋은 회사라고 생각하시는지 말씀해 주세요
38479,근무 중 상사와 트러블이 생기면 어떻게 하겠습니까 또 상사가 혼내면 기분이 나쁘시진 않을까요
38480,만약 업무 수행 중 직무가 적성에 맞지 않는다면 어떻게 하시겠어요 상황을 가정하고 말씀해 주시기 바랍니다
38481,다른 계열사도 많이 있습니다 하지만 면접자님께서는 왜 이 계열사에 지원해 주셨나요
38482,현재 공부하고 계신 분야는 무엇입니까 왜 그걸 공부하고 있고 지금까지 무엇을 배웠는지 말씀 부탁드립니다
38483,엔지니어가 되기 위해선 엔지니어가 무엇인지 잘 알아야 한다고 합니다 지원자님께서는 엔지니어가 무엇이라고 생각하십니까
38484,면접자님께서 사내 스터디를 만들어 공부할 수 있다면 어떤 분야를 공부하고 싶으신지 이유와 근거를 들어 설명해 주세요
38485,지원자님께서 그동안 겪었던 인생의 갈등들 중에서 제일 심각했던 갈등은 무엇이었습니까 한 가지만 얘기해 주세요
38486,공장이 지방에 많이 있다 보니까 지방에서 근무를 하게 될 수도 있습니다 지방에 내려가서 근무를 하는 것도 가능하다고 생각하세요
38487,지원자님께서는 이루고 싶으신 인생의 목표가 있나요 있다면 왜 그걸 이루고 싶으신지 궁금합니다
38488,회사의 덕목이 무엇이라고 생각하세요 어떤 회사가 좋은 회사라고 생각하시는지 말씀해 주세요
38489,타인이 생각하는 지원자님의 장점과 단점은 무엇이라고 생각하시나요 이유도 함께 말씀해 주세요
38490,근무를 하다 보면 업무량이 과도하게 많아질 수 있는데요 그래도 잘 버틸 자신이 있을까요
38491,근무를 하게 되면 자료를 문서화 할 일이 생각합니다 면접자님이 생각하시기에 문서화 작업이 왜 필요하다고 생각하시는지 설명해 주세요
38492,지원자님께서 요즘 공부하고 있는 것이 있으십니까 있다면 어떤 공부이고 왜 그거를 공부하는지 또 지금까지 그 공부를 통해서 무엇을 배웠는지도 말씀 부탁드립니다
38493,저희 회사에 입사의 기회가 주어져서 입사를 하게 된다면 지원자님은 오 년 뒤 그리고 십 년 뒤에는 어떠한 엔지니어가 되어 있을 것이라고 생각하십니까 그 오 년 뒤에 십 년 뒤의 모습을 말해 주세요
38494,다른 계열사도 많이 있는데 면접자님께서는 특히 이 계열사에 지원해 주신 이유가 있나요
38495,저희 일의 특성 상 외근이나 잔업 혹은 외근이 많아질 경우들이 종종 생깁니다 지원자님께서는 이런 경우도 괜찮으시겠습니까
38496,이전 직장을 그만둔 특별한 이유가 있으십니까 그리고 현 직장도 같은 이유로 그만둘 가능성이 있으십니까
38497,개인적으로 공부를 어떤 방법으로 하시는지 말씀해 주시는데 강의나 책을 활용한 공부 방법을 말씀해 주시는 것도 좋겠습니다
38498,현대인은 하루 평균 세 번 거짓말을 하고 산다고 하는데요 본인이 해본 가장 기억에 남는 거짓말은 무엇입니까
38499,생산 관리란 무엇일까요 지원자님께서는 생산 관리에서 어떤 것이 가장 중요하다고 생각하실까요
38500,면접자님은 차단기의 정의에 대해서 알고 계신지 궁금합니다 차단기란 무엇이고 어떤 기능을 하는 기계일까요
38501,최근에 접한 뉴스들 가운데 지원자님의 인상에 가장 깊었던 뉴스는 무엇이었습니까 무엇인지와 이유도 함께 말씀해 주시기 바랍니다
38502,만약 지원자분께서 하고 싶은 직무가 아니라 다른 직무를 많이 맡게 된다고 하시면 어떻게 하고 싶으신지 궁금합니다 그래도 괜찮으신지 답변 부탁드립니다
38503,만약 본인이 내일 죽는다는 사실을 알게 된다면 당장 무엇을 하시겠습니까 해당 면접은 끝까지 계속 보시겠습니까
38504,지금 학습하고 계신 분야는 무엇입니까 왜 그걸 공부하고 있고 지금까지 무엇을 배웠는지 말씀해 주세요
38505,지원자님께서 본인이 현재 가지고 있는 위치보다 어 더 위에 있는 목표를 달성하신 경험이 있으신지 궁금합니다 있으시다면 말씀해 주시길 바랍니다
38506,만약 일을 하다가 직장 상사로부터 어려운 지시를 받는다면 지원자님께서는 어떻게 하시겠습니까 이유도 함께 말씀해 주시기 바랍니다
38507,여태까지 살아오시면서 다양한 커뮤니케이션을 경험해 보셨을 텐데 그중에서 어려웠던 경험 한 개만 꼽자면 무엇이 있을까요
38508,남을 잘 이끄는 리더형과 남을 잘 따르는 팔로워형 중에서 본인은 어떤 유형인지 한번 설명해 주세요
38509,전공 외에 본인이 수준급의 실력이 될 정도로 노력한 것이 있을까요 있다면 전공과 관련해 어떤 도움을 주는지 말씀해 주세요
38510,면접자님께서 입사 후에 기존에 원하던 일을 못 하게 됐을 경우 이 부분에 대해 어떻게 생각하시나요
38511,면접자님께서는 입사 후 쉬운 일 어려운 일이 있을 때 이 일에 대한 분배를 어떻게 하실지 궁금합니다
38512,몇 년 전 우버 택시와 관한 논란이 있었는데요 지원자께서는 찬반양론에 대해 각각 어떻게 생각하고 있나요
38513,면접자님께서 내일 죽는다는 사실을 안다면 당장 무엇을 할지 궁금합니다
38514,면접자님의 생각이 아닌 면접자님의 다른 주변 사람들이 생각하는 장단점에 대해 모두 말씀 부탁드립니다
38515,혹시 매일매일 공부하고 있는 분야가 따로 있으신지 궁금합니다 있으시다면 그것을 공부하고 있는 이유도 무엇인지 함께 설명해 주시기를 바랍니다
38516,일을 하다가 팀원이랑 불화가 생겼다면 그 불화를 어떻게 해결하시겠습니까
38517,해외에 파견 근무를 나가야 한다면 지원자님은 어떤 나라로 가야 한다고 생각하십니까
38518,일을 하다 보면 열심히 하지만 본인이 원하는 만큼 따라오지 못하는 팀 동료들이 있을 수 있는데요 이럴 때는 어떻게 하시겠어요
38519,입사 후 일을 하면서 정작 지원한 분야가 본인과 잘 맞지 않는다는 사실을 깨닫는다면 어떻게 하시겠어요
38520,직무 수행 시에 난관에 봉착했다면 어떻게 해결하실 건가요 지원자님의 해결법과 이유를 제시해 주십시오
38521,엔지니어가 되기 위해선 엔지니어가 무엇인지 잘 알고 있어야 하는데요 엔지니어가 무엇이라고 생각하는지 한번 말씀해 보세요
38522,지원자님은 의견을 주장하실 때 강하게 하시는 편인가요 어떤 스타일로 지원자님의 의견을 주장하십니까
38523,과거에 프로젝트를 수행했던 경험이 있으신지 궁금합니다 있으시다면 해당 프로젝트 내에서 어떤 역할을 맡으셨는지 함께 설명해 주시기를 바랍니다
38524,면접자님의 생각이 아닌 면접자님의 주변 사람들이 생각하는 장단점에 대해 모두 말씀 부탁드립니다
38525,지원자분께서는 창의성과 팀워크 둘 중에서 더 중요한 것이 무엇이라고 생각하시는지 궁금합니다 그 근거도 함께 들어서 이야기해 주세요
38526,시간이 촉박한 상황이 발생하면 어떻게 시간 관리하시나요 지원자님의 시간 관리법이 궁금합니다
38527,이전 직장에서 퇴사하고 퇴사한 것을 후회하신 적은 없으신가요 있다면 이유도 함께 말씀해 주세요
38528,만약에 해외 출장 장소를 선택할 수 있다고 한다면 꼭 가보고 싶은 나라가 있으신가요
38529,만약 본인이 지금 지원한 해당 직무가 아닌 타 부서에 배치되게 된다면 어떻게 하시겠어요 그래도 괜찮으실까요
38530,지원자분께서 입사를 하시고 난 이후에 기존에 본인이 원하던 일을 못 하시게 되었을 경우에 어떻게 하고 싶으신지 궁금합니다 그렇게 하시고 싶은 이유도 이야기해 주세요
38531,면접자님께선 스스로 숫자와 창의 중 어떤 것에 더 가깝다고 생각하시는지 궁금합니다
38532,대학 생활을 보내시면서 가장 힘들었던 점은 무엇이었나요 그리고 그것을 어떻게 극복하셨는지 궁금합니다
38533,소통 능력을 향상시키기 위해서는 어떤 일을 할 수 있을까요 생각나는 방법들을 자세하게 한번 말씀해 주시기 바랍니다
38534,지원자님의 장점과 단점을 설명 부탁드립니다 그리고 그것을 특화시키기 위해서 어떤 노력을 하셨는지도 말씀해 주세요
38535,어떤 문제에 부딪쳤을 때 혼자 해결하시는 편이십니까 아니면 여러 사람들에게 이야기를 하는 편이세요
38536,지원자분께서 저희 회사에 들어오셔서 본인이 하고 싶은 업무가 있으신지 궁금합니다 있으시다면 그 이유와 함께 이야기 해 주시면 좋겠습니다
38537,혹시 공장에서 일해 보신 경험이 있습니까 그렇다면 그 경험에 관해 구체적으로 설명해 주세요
38538,최근 공부하고 있는 것이 있다면 그것을 왜 공부하고 있는지 이제까지 무엇을 배웠는지 함께 얘기해 주세요
38539,따로 스터디를 하고 계신 것이 있나요 있다면 어떤 공부를 왜 하고 계신지 궁금합니다
38540,공동체의 가치에 입각 무형문화유산의 보호에 있어 적용되는 사회적 관념은 무엇이라고 생각하시는지 말씀해 주세요
38541,만약 업무 수행 중 직무가 적성에 맞지 않는다면 어떻게 하시겠어요 상황을 가정하고 말씀 부탁드립니다
38542,혹시 지금 읽고 계신 책이 있다면 어떤 책인지 어떤 목적으로 읽고 계시는지 말씀해 주세요
38543,과거의 프로젝트를 수행하셨던 경험이 있으신지 궁금합니다 또 있으셨다면 해당 프로젝트 내에서 본인은 어떤 역할을 맡으셨는지 설명해 주시기를 바랍니다
38544,살면서 다양한 커뮤니케이션이 존재합니다 면접자님께선 가장 어려웠던 커뮤니케이션 경험이 있다면 한 가지만 골라 말씀 부탁드립니다
38545,기술적인 이슈를 해결했었던 경험이 있으실까요 만약 있으시다면 당시에 상황에 대해 자세하게 설명해 주시겠어요
38546,면접자님께서 직장을 선택하실 때 가장 중요하게 생각하는 세 가지가 있다면 무엇인지 말씀 부탁드립니다
38547,면접자님께서는 지금까지 다뤄보신 생산 장비나 시설에 관해 본인 나름의 운용 노하우가 있을 것 같아요 그 근거를 들어서 설명해 주시기 바랍니다
38548,면접자님께서는 평소에 검색을 자주 하시는 편인가요 어떤 검색을 하시는지 왜 하시는지 자세하게 설명 부탁드립니다
38549,지금으로부터 십 년 후 지원자님의 모습은 어떤 모습일까요 혹시 이 회사는 계속 다니고 있을까요
38550,본인이 그동안 인생에서 겪었던 갈등들 중 가장 심각했던 갈등은 무엇인지 한 가지만 골라 말씀 부탁드립니다
38551,혹시 지금 공부하고 있는 분야가 무엇인가요 그 공부를 하는 이유도 같이 말씀해 주세요
38552,그동안 속해 계셨던 조직과 단체 속에서 본인은 주로 어떤 역할을 수행하는 사람이었는지 말씀해 주세요
38553,우리 회사에 입사를 딱 했더니 업무 내용이나 강도가 예상했던 것과 전혀 다르다면 어떻게 하시는 게 좋을까요
38554,지금까지 인생을 살아오면서 가장 힘들었던 점은 무엇이었습니까 또 그 점을 극복하기 위해서 어떤 노력을 해 왔는지도 함께 말씀해 주시기 바랍니다
38555,연접자님께서 지금까지 다뤄 보신 생산 장비나 시설에 관해 본인 나름의 운용 노하우가 있다면 근거를 들어 설명해 주시겠습니까
38556,일을 하다가 그 직무가 지원자님과 잘 맞지 않는다는 것을 알게 되신다면 어떻게 하시겠습니까
38557,회사에 들어와 선배를 만나게 된다면 어떤 모습에 선배를 만나고 싶으신지 이유와 근거를 들어 설명 부탁드립니다
38558,지금 지원하신 이 직무가 아닌 다른 곳에 배치가 된다면 어떻게 하시겠습니까
38559,귀하께서는 자기소개서의 어 여러 가지 설계 프로그램을 뭐 배우고 실행해 보셨다고 적어주셨는데 귀하께서 다룰 수 있는 설계 프로그램명을 말씀해 주시고 그 사용 정도를 일에서 십으로 표현해 주세요
38560,본인이 현재 가지고 있는 위치보다 더 어려운 목표를 달성해 본 경험이 있다면 그 경험을 말씀해 주세요
38561,면접자님께서 직접 해외 출장 장소를 선택할 수 있다면 꼭 한번 근무해 보고 싶은 나라에 대해 말씀해 주세요
38562,시험 기간 시간 촉박할 때 어떻게 시간 관리하시는 편이십니까 본인의 시간 관리법을 말씀해 주세요
38563,현재 공부하고 계신 분야는 무엇입니까 왜 그걸 공부하는지 또 지금까지 무엇을 배웠는지도 함께 말씀 부탁드립니다
38564,면접자님께서 배달의 민족을 사용하시면서 서비스에 대해 아쉬웠던 부분이 있다면 무엇인지 한 가지만 골라 말씀 부탁드립니다
38565,지원자님께서 입사 후 기존에 원하던 일을 못 하게 되었을 경우에 어떻게 하실 건가요 그렇게 하실 이유도 말씀해 주십시오
38566,지원자님이 생각하시는 지원자님의 단점이 있다면 얘기해 주실 수 있을까요 그리고 그것을 극복하기 위해서 어떤 노력을 하셨는지도 같이 말씀 부탁드립니다
38567,얼마 전 구급대원 분께서 주취자에게 폭행 당해서 순직 당하는 일이 있었습니다 이 사건에 대해서 어떻게 생각하시는지 답변 부탁드립니다
38568,지원자분께서 우리 회사에 들어오셔서 본인이 하고 싶은 업무가 있으신지 궁금합니다 있으시다면 그 이유와 함께 이야기해 주세요
38569,회사에 들어와서 선배를 만나게 된다면 어떤 모습에 선배를 만나고 싶으신가요 그리고 왜 그런 모습에 선배를 만나고 싶으신지도 함께 말씀해 주시기 바랍니다
38570,만약 면접자님께서 하고 싶은 업무 외에 다른 업무를 맡게 된다면 어떻게 하실지 궁금합니다 혹시 그래도 괜찮으실까요
38571,면접자님께서 지금까지 살면서 이룬 성과 중 가장 큰 성과가 있다면 무엇이었는지 한 가지만 골라 말씀해 주세요
38572,면접자님께서 이 직무에 지원하신 이유가 무엇인지 말씀해 주시고 면접자님이 왜 적합한 인재인지 설명 부탁드립니다
38573,태어나서 지금까지 한 일들 가운데서 가장 후회했던 일이 무엇이었습니까 한 가지만 골라서 말씀해 주십시오
38574,엔지니어가 되기 위해서는 일단 엔지니어가 무엇인지 잘 알아야 하는데요 지원자님이 생각하기에 엔지니어는 무엇이라고 생각하나요
38575,지원자분께서는 본인이 교번 근무에 있어서 잘 적응할 수 있다고 생각하시는지 궁금합니다 그렇다고 한다면 그 근거도 함께 이야기 해 주세요
38576,우리 회사가 해외 무대로 진출한다면 어디로 진출하는 것이 좋을 것 같습니까 이유도 말씀해 주시기 바랍니다
38577,살면서 무엇인가 하나에 푹 빠져 그것에 몰두해 본 경험이 있으시다면 그 대상이 무엇인지 궁금합니다
38578,만약 지원자님이 우리 회사에 들어오게 된다면 앞으로 어떤 부분을 전문적으로 다뤄 보고 싶은지 말씀해 주시기 바랍니다
38579,시간이 촉박한 상황이 생길 때 지원자님께서는 시간 관리를 어떻게 하시는지 궁금합니다
38580,면접자님이 생각하시기에 협업을 할 때 가장 중요하게 여기시는 것은 무엇입니까 이유와 근거를 들어 설명 부탁드립니다
38581,타 지원자들에 비해 본인만이 가진 차별성과 장점을 어필한다면 어떤 것들이 있을까요
38582,면접자님이 생각하시는 스스로의 장단점에 대해 말씀해 주시고 그것을 특화시키고 극복시키기 위한 노력이 있었다면 함께 말씀 부탁드립니다
38583,면접사님께서 이 분야에 지원하시기 위해 노력했던 부분이 있다면 무엇이 있었는지 한 가지만 말씀 부탁드립니다
38584,동물 실험이 인간에게 주는 이익에 대해서 이야기 해 주시면 좋겠습니다 동물 실험에 대한 지원자 분의 생각도 이야기 해 주세요
38585,지원자 분께서는 몇 년 전에 우버 택시와 관련해서 논란이 있었던 걸 알고 계실 겁니다 찬반양론에 대해서 각각 어떻게 생각하시는지 궁금합니다
38586,혹시 왜 학습하고 계신 분야가 따로 있으신가요 있다면 그걸 왜 공부하고 있는지도 함께 설명 부탁드립니다
38587,커뮤니케이션을 잘 할 수 있는 본인만의 스킬이 있다면 한번 소개해 주실 수 있으신가요 직접 한번 보여주셔도 좋을 것 같습니다
38588,만약 지원자님께서 고장난 기계나 장비 등을 성공적으로 교체해 본 경험이 있다면 그 경험에 대해 자세히 말씀해 주시겠습니까
38589,지원자님께서는 소통 능력을 키우기 위해서 어떤 일들을 하실 수 있을까요
38590,상사가 회사에 이익에 반하는 행동을 하는 것을 본인이 직접 목격했다면 그때 어떻게 하시겠어요
38591,면접자님께선 스트레스를 받으면 어떻게 해소하시나요 왜 그 방법으로 해소하시는지 이유도 함께 말씀해 주세요
38592,다른 사람들과 구별되는 지원자님만의 경쟁력이 있다면 설명해 주세요 그리고 그 경쟁력을 키우기 위해서 어떤 노력을 하셨는지도 궁금합니다
38593,지원자분께서는 이루고 싶은 인생의 목표가 있으신지 궁금합니다 왜 그걸 이루고 싶으신지도 함께 말씀해 주시면 좋겠습니다
38594,개인적으로 공부를 어떻게 하시나요 평소에 강의나 책을 활용한 공부 방법을 말씀해 주시는 것도 좋습니다
38595,지원자님은 시험 기간 시간이 촉박할 때 어떻게 시간 관리를 하셨습니까 본인의 시간 관리법을 말씀해 주세요
38596,지원자님께서 이 직무에 지원한 이유가 무엇인지 궁금합니다 그리고 본인이 왜 이 직무에 적합한 인재인지도 설명해 주시기 바랍니다
38597,얼마 전 구급대원 분께서 주취자에게 폭행을 당해서 순직 당하는 일이 있었습니다 이와 같은 사건에 대해 어떻게 생각하시는지 궁금합니다
38598,면접자님께서 직장을 선택하실 때 제일 중요하게 생각하시는 것이 있다면 그것은 무엇인지 세 가지만 각각 말씀해 주시겠어요
38599,지원자님은 팀으로 일하는 것과 혼자 일하는 것들 중에서 어떤 쪽을 더 선호하십니까
38600,지원자분께서 지금껏 협업을 하시면서 가장 어려웠던 점과 그 어려움을 어떻게 해결하셨는지 이야기해 주시면 좋겠습니다
38601,면접자님께서 입사 후에 기존에 원하던 일을 못 하게 되었을 경우 어떻게 행동하실지 궁금합니다 그리고 그렇게 행동하시는 이유도 함께 설명해 주세요
38602,최근에 본 뉴스들 가운데서 제일 인상 깊었던 뉴스가 무엇인지 말씀해 주시고 그 이유도 함께 설명해 주세요
38603,일을 하다가 직무가 적성에 맞지 않는다는 것을 알게 되셨습니다 그럴 때 어떻게 하시겠습니까
38604,지원자분께서는 지금까지 여러 가지 대외 활동들을 해 오셨을 텐데 그 대외 활동에서 무엇을 배우셨고 어떠한 자세로 임하셨는지 이야기 해 주세요
38605,우리 회사에 들어오게 되면 제 가고 싶은 부서와 왜 그 부서에 가고 싶다고 생각하셨는지 그 이유를 함께 말씀해 주시겠어요
38606,지금 공부하고 계신 분야는 무엇입니까 왜 그걸 공부하고 있고 지금까지 무엇을 배웠는지도 함께 말씀 부탁드립니다
38607,지원자님께서 최근에 재미있게 하고 있는 일이 있나요 있다면 그 일이 왜 재미있는지도 같이 얘기해 주세요
38608,몇 년 전에 우버 택시 도입에 관해서 논란이 있었던 걸 알고 계실 겁니다 지원자님께서는 찬반양론에 각각 어떻게 생각하세요
38609,면접자님께서 스스로 생각하시기에 숫자와 창의 중 어떤 것에 더 가깝다고 생각하십니까 이유와 근거를 들어 말씀 부탁드립니다
38610,협업하는 과제와 혼자 하는 과제 중 어느 것을 더 선호하시는지 말씀해 주시고 그 이유도 함께 얘기해 주세요
38611,일을 하시다 보면 자료를 문서화 해야 할 일이 많을 수 있습니다 이와 같은 문서화 작업이 왜 꼭 필요하다고 생각하시는지 말씀해 주시면 좋겠습니다
38612,지원자님의 의견을 주장하실 때 강하게 하시는 편인가요 어떤 스타일로 지원자님의 의견을 주장하시는지 궁금합니다
38613,지원자분께서 업무 시 분쟁이 발생했을 때를 대비해서 가지고 계시는 대처법이 있으신지 궁금합니다 있으시다면 그것이 무엇인지 이야기해 주세요
38614,일을 하다 보면은 타 지역에서 일을 해야 될 수도 있습니다 다른 지역에서 근무하는 것도 괜찮으십니까
38615,지금 읽고 계신 책이 있다면 무슨 책인지 왜 그 책을 읽으시는지 궁금합니다
38616,나만의 스트레스 해소법이 있는지 있다면 왜 그런 방법으로 스트레스를 해소하는지 말씀해 주시기 바랍니다
38617,이제까지 협업을 하면서 제일 어려웠던 점과 그 점을 어떤 방법으로 해결하셨는지 함께 얘기해 주세요
38618,지원자분께서는 본인이 팀장에 더욱 잘 맞을 것 같으신지 팀원에 더욱 잘 맞을 것 같으신지 그 이유와 함께 설명해 주시면 좋겠습니다
38619,남들과는 다른 면접자님만의 경쟁력이 있다면 무엇인지 말씀해 주시고 경쟁력을 키우기 위해 어떤 노력을 하셨는지 설명 부탁드립니다
